row_index,cell_1_icon_src,cell_1_icon_alt,cell_2_name_link_text,cell_2_full_text,cell_3_img_srcs,cell_3_img_alts,cell_4_text
11,/thumb.php?f=101020191_s2_rank5_command.png&width=80,101020191 s2 rank5 command.png,Senya AS,"| Senya AS | 
 | 5★","/thumb.php?f=Skill_Type_8_32.png&width=32, /thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000002_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 32.png, Skill Type 8 1.png, 202000002 icon.png, 216000004 icon.png",2025-03-19
12,/thumb.php?f=101000301_s2_rank5_command.png&width=80,101000301 s2 rank5 command.png,Jet Tactician (Another Style),"| Jet Tactician (Another Style) | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 1.png, 202000000 icon.png, 216000004 icon.png",2025-03-19
13,/thumb.php?f=2000000018_command.png&width=80,2000000018 command.png,Kuramaru,"| Kuramaru | 
 | 4★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2025-03-19
14,/thumb.php?f=101040011_s2_rank5_command.png&width=80,101040011 s2 rank5 command.png,Komachi AS,"| Komachi AS | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000004_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 2.png, 202000004 icon.png, 216000002 icon.png",2025-03-06
15,/thumb.php?f=101050201_rank5_command.png&width=80,101050201 rank5 command.png,Hoarfrost Songstress,"| Hoarfrost Songstress | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 8.png, 202000005 icon.png, 216000004 icon.png",2025-02-20
16,/thumb.php?f=101000071_s2_rank5_command.png&width=80,101000071 s2 rank5 command.png,Krervo AS,"| Krervo AS | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_0.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 0.png, 202000000 icon.png, 216000004 icon.png",2025-02-06
17,/thumb.php?f=101070161_rank5_command.png&width=80,101070161 rank5 command.png,Kagurame,"| Kagurame | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_32.png&width=32, /thumb.php?f=202000007_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 32.png, 202000007 icon.png, 216000002 icon.png",2025-01-23
18,/thumb.php?f=101010191_rank5_command.png&width=80,101010191 rank5 command.png,Forlorn Thespian,"| Forlorn Thespian | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 2.png, 202000001 icon.png, 216000002 icon.png",2025-01-09
19,/thumb.php?f=101030151_s3_rank5_command.png&width=80,101030151 s3 rank5 command.png,Necoco ES,"| Necoco ES | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 4.png, 202000005 icon.png, 216000004 icon.png",2024-12-30
20,/thumb.php?f=101010161_s2_rank5_command.png&width=80,101010161 s2 rank5 command.png,Elseal AS,"| Elseal AS | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 8.png, 202000001 icon.png, 216000002 icon.png",2024-12-19
21,/thumb.php?f=101460141_rank5_command.png&width=80,101460141 rank5 command.png,Empel,"| Empel | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_0.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 0.png, 202000000 icon.png, 216000004 icon.png",2024-12-05
22,/thumb.php?f=101060191_rank5_command.png&width=80,101060191 rank5 command.png,Id,"| Id | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 2.png, 202000006 icon.png, 216000003 icon.png",2024-12-05
23,/thumb.php?f=2000000015_command.png&width=80,2000000015 command.png,Hazama,"| Hazama | 
 | 5★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2024-12-05
24,/thumb.php?f=101460131_rank5_command.png&width=80,101460131 rank5 command.png,Klaudia,"| Klaudia | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 8.png, 202000005 icon.png, 216000004 icon.png",2024-12-05
25,/thumb.php?f=101460121_rank5_command.png&width=80,101460121 rank5 command.png,Ryza,"| Ryza | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 1.png, 202000000 icon.png, 216000004 icon.png",2024-12-05
26,/thumb.php?f=101000391_rank5_command.png&width=80,101000391 rank5 command.png,Izuna,"| Izuna | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_16.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 16.png, 202000000 icon.png, 216000004 icon.png",2024-11-21
27,/thumb.php?f=101060051_s2_rank5_command.png&width=80,101060051 s2 rank5 command.png,Rufus AS,"| Rufus AS | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 1.png, 202000006 icon.png, 216000003 icon.png",2024-11-07
28,/thumb.php?f=101060181_rank5_command.png&width=80,101060181 rank5 command.png,Nocturne Ninja,"| Nocturne Ninja | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 4.png, 202000006 icon.png, 216000003 icon.png",2024-10-24
29,/thumb.php?f=101020161_s2_rank5_command.png&width=80,101020161 s2 rank5 command.png,Sesta AS,"| Sesta AS | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000002_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 4.png, 202000002 icon.png, 216000004 icon.png",2024-10-10
30,/thumb.php?f=101020191_rank5_command.png&width=80,101020191 rank5 command.png,Senya,"| Senya | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_32.png&width=32, /thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000002_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 32.png, Skill Type 8 1.png, 202000002 icon.png, 216000004 icon.png",2024-09-19
31,/thumb.php?f=101020101_s3_rank5_command.png&width=80,101020101 s3 rank5 command.png,Shigure ES,"| Shigure ES | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000002_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 4.png, 202000002 icon.png, 216000004 icon.png",2024-09-19
32,/thumb.php?f=101060021_s2_rank5_command.png&width=80,101060021 s2 rank5 command.png,Lingli AS,"| Lingli AS | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 1.png, 202000006 icon.png, 216000003 icon.png",2024-09-05
33,/thumb.php?f=101460051_rank5_command.png&width=80,101460051 rank5 command.png,Kula,"| Kula | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 8.png, 202000006 icon.png, 216000003 icon.png",2024-08-22
34,/thumb.php?f=101460021_rank5_command.png&width=80,101460021 rank5 command.png,Kyo,"| Kyo | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 1.png, 202000006 icon.png, 216000003 icon.png",2024-08-22
35,/thumb.php?f=101460041_rank5_command.png&width=80,101460041 rank5 command.png,Mai,"| Mai | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 1.png, 202000006 icon.png, 216000003 icon.png",2024-08-22
36,/thumb.php?f=101070151_rank5_command.png&width=80,101070151 rank5 command.png,Thornbound Witch,"| Thornbound Witch | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=Skill_Type_8_32.png&width=32, /thumb.php?f=202000007_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 4.png, Skill Type 8 32.png, 202000007 icon.png, 216000002 icon.png",2024-08-22
37,/thumb.php?f=101460031_rank5_command.png&width=80,101460031 rank5 command.png,Terry,"| Terry | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 2.png, 202000006 icon.png, 216000003 icon.png",2024-08-22
38,/thumb.php?f=101030081_s2_rank5_command.png&width=80,101030081 s2 rank5 command.png,Zilva AS,"| Zilva AS | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_0.png&width=32, /thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000003_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 0.png, Skill Type 8 2.png, 202000003 icon.png, 216000003 icon.png",2024-08-08
39,/thumb.php?f=101030211_rank5_command.png&width=80,101030211 rank5 command.png,Utpalaka,"| Utpalaka | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_16.png&width=32, /thumb.php?f=202000003_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 16.png, 202000003 icon.png, 216000003 icon.png",2024-07-25
40,/thumb.php?f=101060171_rank5_command.png&width=80,101060171 rank5 command.png,Undercover Scribe,"| Undercover Scribe | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 1.png, 202000006 icon.png, 216000003 icon.png",2024-07-04
41,/thumb.php?f=101010131_s2_rank5_command.png&width=80,101010131 s2 rank5 command.png,Minalca AS,"| Minalca AS | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 1.png, 202000001 icon.png, 216000002 icon.png",2024-06-20
42,/thumb.php?f=2000000001_s2_command.png&width=80,2000000001 s2 command.png,Tetra (Another Style),"| Tetra (Another Style) | 
 | 5★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2024-06-20
43,/thumb.php?f=101900011_s2_rank5_command.png&width=80,101900011 s2 rank5 command.png,Feinne AS,"| Feinne AS | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_0.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 0.png, 202000000 icon.png, 216000004 icon.png",2024-06-06
44,/thumb.php?f=101010181_rank5_command.png&width=80,101010181 rank5 command.png,Jillfunny,"| Jillfunny | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=Skill_Type_8_64.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 8.png, Skill Type 8 64.png, 202000001 icon.png, 216000002 icon.png",2024-06-06
45,/thumb.php?f=2000000013_command.png&width=80,2000000013 command.png,Pyggie,"| Pyggie | 
 | 5★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2024-06-06
46,/thumb.php?f=2000000014_rank5_command.png&width=80,2000000014 rank5 command.png,Thysía,"| Thysía | 
 | 3~5★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2024-06-06
47,/thumb.php?f=101030201_rank5_command.png&width=80,101030201 rank5 command.png,Mazrika,"| Mazrika | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000003_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 8.png, 202000003 icon.png, 216000003 icon.png",2024-05-23
48,/thumb.php?f=101000331_s2_rank5_command.png&width=80,101000331 s2 rank5 command.png,Yakumo AS,"| Yakumo AS | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_32.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 32.png, 202000000 icon.png, 216000004 icon.png",2024-05-09
49,/thumb.php?f=2000000006_s2_command.png&width=80,2000000006 s2 command.png,Kumos (Another Style),"| Kumos (Another Style) | 
 | 5★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2024-05-09
50,/thumb.php?f=101070141_rank5_command.png&width=80,101070141 rank5 command.png,Virtual Reflection,"| Virtual Reflection | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=Skill_Type_8_16.png&width=32, /thumb.php?f=202000007_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 2.png, Skill Type 8 16.png, 202000007 icon.png, 216000002 icon.png",2024-04-25
51,/thumb.php?f=101010011_s3_rank5_command.png&width=80,101010011 s3 rank5 command.png,Anabel ES,"| Anabel ES | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000004_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 1.png, 202000004 icon.png, 216000002 icon.png",2024-04-12
52,/thumb.php?f=101000381_rank5_command.png&width=80,101000381 rank5 command.png,Xianhua,"| Xianhua | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_0.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 0.png, 202000000 icon.png, 216000004 icon.png",2024-04-12
53,/thumb.php?f=101000371_rank5_command.png&width=80,101000371 rank5 command.png,Kuchinawa,"| Kuchinawa | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 2.png, 202000000 icon.png, 216000004 icon.png",2024-03-21
54,/thumb.php?f=101070111_s2_rank5_command.png&width=80,101070111 s2 rank5 command.png,Daisy AS,"| Daisy AS | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000007_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 2.png, 202000007 icon.png, 216000002 icon.png",2024-03-08
55,/thumb.php?f=101040141_s2_rank5_command.png&width=80,101040141 s2 rank5 command.png,Ewella AS,"| Ewella AS | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=Skill_Type_8_64.png&width=32, /thumb.php?f=202000004_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 8.png, Skill Type 8 64.png, 202000004 icon.png, 216000002 icon.png",2024-02-22
56,/thumb.php?f=101030191_rank5_command.png&width=80,101030191 rank5 command.png,Sazanca,"| Sazanca | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000003_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 1.png, 202000003 icon.png, 216000003 icon.png",2024-02-08
57,/thumb.php?f=101010171_rank5_command.png&width=80,101010171 rank5 command.png,Melpiphia,"| Melpiphia | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 4.png, 202000001 icon.png, 216000002 icon.png",2024-01-26
58,/thumb.php?f=2009000001_command.png&width=80,2009000001 command.png,Iridian (Attack),"| Iridian (Attack) | 
 | 4★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2024-01-26
59,/thumb.php?f=2009000002_command.png&width=80,2009000002 command.png,Iridian (Defense),"| Iridian (Defense) | 
 | 4★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2024-01-26
60,/thumb.php?f=2009000003_command.png&width=80,2009000003 command.png,Iridian (Heal),"| Iridian (Heal) | 
 | 4★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2024-01-26
61,/thumb.php?f=101020181_rank5_command.png&width=80,101020181 rank5 command.png,Blooming Blade,"| Blooming Blade | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000002_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 2.png, 202000002 icon.png, 216000004 icon.png",2024-01-22
62,/thumb.php?f=101010121_s3_rank5_command.png&width=80,101010121 s3 rank5 command.png,Thillelille ES,"| Thillelille ES | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_64.png&width=32, /thumb.php?f=202000001_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 64.png, 202000001 icon.png, 216000002 icon.png",2024-01-16
63,/thumb.php?f=2000000012_command.png&width=80,2000000012 command.png,Moke,"| Moke | 
 | 5★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2024-01-16
64,/thumb.php?f=101050171_s2_rank5_command.png&width=80,101050171 s2 rank5 command.png,Alma AS,"| Alma AS | 
 | 5★ SA","/thumb.php?f=Skill_Type_8_64.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 64.png, 202000005 icon.png, 216000004 icon.png",2024-01-09
65,/thumb.php?f=101050191_rank5_command.png&width=80,101050191 rank5 command.png,Wenefica,"| Wenefica | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=Skill_Type_8_32.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 8.png, Skill Type 8 32.png, 202000005 icon.png, 216000004 icon.png",2023-12-28
66,/thumb.php?f=101450051_rank5_command.png&width=80,101450051 rank5 command.png,Cyrus Albright,"| Cyrus Albright | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=Skill_Type_8_16.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 1.png, Skill Type 8 8.png, Skill Type 8 16.png, 202000000 icon.png, 216000004 icon.png",2023-12-07
67,/thumb.php?f=101020171_rank5_command.png&width=80,101020171 rank5 command.png,Oboro,"| Oboro | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_16.png&width=32, /thumb.php?f=202000002_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 16.png, 202000002 icon.png, 216000004 icon.png",2023-12-07
68,/thumb.php?f=101450061_rank5_command.png&width=80,101450061 rank5 command.png,Partitio,"| Partitio | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 1.png, 202000005 icon.png, 216000004 icon.png",2023-12-07
69,/thumb.php?f=101450071_rank5_command.png&width=80,101450071 rank5 command.png,Tithi,"| Tithi | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_16.png&width=32, /thumb.php?f=202000006_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 16.png, 202000006 icon.png, 216000003 icon.png",2023-12-07
70,/thumb.php?f=101050181_rank5_command.png&width=80,101050181 rank5 command.png,Cerius,"| Cerius | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 2.png, 202000005 icon.png, 216000004 icon.png",2023-11-24
71,/thumb.php?f=101040201_rank5_command.png&width=80,101040201 rank5 command.png,Wryz,"| Wryz | 
 | 4~5★ SA","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000004_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 8.png, 202000004 icon.png, 216000002 icon.png",2023-11-24
72,/thumb.php?f=101000161_s2_rank5_command.png&width=80,101000161 s2 rank5 command.png,Pom AS,"| Pom AS | 
 | 5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 1.png, 202000000 icon.png, 216000004 icon.png",2023-11-15
73,/thumb.php?f=101030171_s2_rank5_command.png&width=80,101030171 s2 rank5 command.png,Orleya AS,"| Orleya AS | 
 | 5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=Skill_Type_8_16.png&width=32, /thumb.php?f=202000003_icon.png&width=32, /thumb.php?f=216000003_icon.png&width=32","Skill Type 8 1.png, Skill Type 8 16.png, 202000003 icon.png, 216000003 icon.png",2023-11-07
74,/thumb.php?f=101000361_rank5_command.png&width=80,101000361 rank5 command.png,Porcelain Pixie,"| Porcelain Pixie | 
 | 5★","/thumb.php?f=Skill_Type_8_2.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 2.png, 202000000 icon.png, 216000004 icon.png",2023-10-25
75,/thumb.php?f=101000341_rank5_command.png&width=80,101000341 rank5 command.png,Kamlanage,"| Kamlanage | 
 | 5★","/thumb.php?f=Skill_Type_8_16.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 16.png, 202000000 icon.png, 216000004 icon.png",2023-10-17
76,/thumb.php?f=101070131_rank5_command.png&width=80,101070131 rank5 command.png,Velette,"| Velette | 
 | 4~5★","/thumb.php?f=Skill_Type_8_16.png&width=32, /thumb.php?f=202000007_icon.png&width=32, /thumb.php?f=216000002_icon.png&width=32","Skill Type 8 16.png, 202000007 icon.png, 216000002 icon.png",2023-10-17
77,/thumb.php?f=2000000009_command.png&width=80,2000000009 command.png,Gunce,"| Gunce | 
 | 5★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2023-10-17
78,/thumb.php?f=2000000010_command.png&width=80,2000000010 command.png,Hyuga,"| Hyuga | 
 | 4★",/thumb.php?f=Buddy_equipment.png&width=32,Buddy equipment.png,2023-10-17
79,/thumb.php?f=101050031_s2_rank5_command.png&width=80,101050031 s2 rank5 command.png,Parisa AS,"| Parisa AS | 
 | 5★","/thumb.php?f=Skill_Type_8_1.png&width=32, /thumb.php?f=202000005_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 1.png, 202000005 icon.png, 216000004 icon.png",2023-10-06
80,/thumb.php?f=101000351_rank5_command.png&width=80,101000351 rank5 command.png,Dream Weaver,"| Dream Weaver | 
 | 5★","/thumb.php?f=Skill_Type_8_8.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 8.png, 202000000 icon.png, 216000004 icon.png",2023-09-26
81,/thumb.php?f=101000141_s2_rank5_command.png&width=80,101000141 s2 rank5 command.png,Melody AS,"| Melody AS | 
 | 5★","/thumb.php?f=Skill_Type_8_4.png&width=32, /thumb.php?f=202000000_icon.png&width=32, /thumb.php?f=216000004_icon.png&width=32","Skill Type 8 4.png, 202000000 icon.png, 216000004 icon.png",2023-09-15
